state,abbr,fips,statewide_total_registered,as_of_date,registers_by_party,county_unit_label,county_count,data_quality,source_url
Kentucky,KY,21,3365548,2026-06-01,True,county,120,"high — extracted directly from the official KY State Board of Elections county-level PDF; all 120 counties present; per-county party sums (Dem+Rep+Other) equal each county's total; county sums equal the PDF's statewide totals line exactly (Dem 1,371,232 + Rep 1,614,657 + Other 379,659 = 3,365,548).",https://elect.ky.gov/Resources/Documents/voterstatscounty-May%202026.pdf
Louisiana,LA,22,2970410,2026-06-01,True,parish,64,high,https://electionstatistics.sos.la.gov/Data/Registration_Statistics/statewide/2026_0601_sta_comb.pdf
Massachusetts,MA,25,5025826,2025-02-01,True,county,14,"high - official state source; county totals and per-party columns sum exactly to the published statewide totals (Total 5,025,826; Dem 1,298,603; Rep 423,387; Unenrolled 3,254,435; Political Designations 49,401); all 14 counties present",https://www.sec.state.ma.us/divisions/elections/research-and-statistics/accessible-table/enrollment-breakdown-2025.htm
Maryland,MD,24,4323311,2026-05-31,True,county,24,high,https://elections.maryland.gov/pdf/vrar/2026/MSR-2026_05.pdf
Maine,ME,23,897677,2026-03-07,True,county,16,"high — official SoS Excel data file parsed directly; all 16 counties present; statewide party sum and county total sum both reconcile exactly to 897,677.",https://www.maine.gov/sos/elections-voting/voter-data
Michigan,MI,26,8260991,2025-11-01,False,county,83,high,https://www.michigan.gov/sos/-/media/Project/Websites/sos/Election-Results-and-Statistics/Registered-Voter-Count/2025-Registered-Voter-Count.pdf
Minnesota,MN,27,3827205,2026-04-01,False,county,87,high,https://www.sos.mn.gov/election-administration-campaigns/data-maps/voter-registration-counts/
Missouri,MO,29,4433383,2024-12-05,False,county,116,high,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf
Mississippi,MS,28,1873828,2026-05-04,False,county,82,high,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2026May%20Voter%20Count%20Red.pdf
Montana,MT,30,791434,2026-06-14,False,county,56,high,https://sosmt.gov/elections/regvotercounty/
North Carolina,NC,37,7784873,2026-06-13,True,county,100,verified,https://vt.ncsbe.gov/RegStat/Results?date=2026-06-13
North Dakota,ND,38,,,False,county,0,not_applicable,https://www.sos.nd.gov/elections/voter/voting-north-dakota
Nebraska,NE,31,1257308,2026-05-01,True,county,93,"complete; all 93 counties present; every county party breakdown sums to its county total and the sum of all counties matches the report's printed Grand Total exactly (Republican 620689, Democratic 327605, Libertarian 17645, Legal Marijuana NOW 10450, Nonpartisan 280919, Total 1257308).",https://sos.nebraska.gov/sites/default/files/doc/elections/vrstats/2026VR/Statewide-May-2026.pdf
New Hampshire,NH,33,956346,2026-05-04,True,town,243,"high — official NH Secretary of State report; all 243 town/city units retained; every unit's party figures sum to its town total; sum of all units matches the statewide grand total (956,346) exactly; 10-county rollup also reconciles to the statewide total.",https://www.sos.nh.gov/party-registration-history-1970-2026
New Jersey,NJ,34,6688363,2026-06-01,True,county,21,"high - official NJ Division of Elections monthly PDF; all 21 county rows internally consistent (party columns sum to county totals) and all column totals match the printed statewide TOTAL row exactly (grand total 6,688,363).",https://www.nj.gov/state/elections/assets/pdf/svrs-reports/2026/2026-06-voter-registration-by-county.pdf
New Mexico,NM,35,1423734,2026-05-31,True,county,33,high,https://www.sos.nm.gov/voting-and-elections/data-and-maps/voter-registration-statistics/2026-voter-registration-data/
Nevada,NV,32,2455381,2026-06-01,True,county,17,"high - official Nevada Secretary of State PDF; all 17 county-unit rows captured; every county row sum and all six party column sums independently verified to equal the reported statewide totals (Dem 669,779 + Rep 658,601 + Nonpartisan 964,572 + IndependentAmerican 103,402 + Libertarian 18,180 + Other 40,847 = 2,455,381).",https://www.nvsos.gov/sos/elections/voters/voter-registration-statistics/2026-statistics
New York,NY,36,12547142,2026-02-20,True,county,62,high,https://elections.ny.gov/system/files/documents/2026/02/county_feb26.xlsx
Ohio,OH,39,7580955,2026-06-13,False,county,88,partial,https://data.ohiosos.gov/portal/voter-registration
Oklahoma,OK,40,2422573,2026-05-31,True,county,77,"high — extracted directly from official Oklahoma State Election Board PDF; all 77 counties present; every county row sums exactly to its stated total; county party totals sum exactly to the published statewide grand total (Lib 23,536; Rep 1,290,034; Dem 613,532; Ind 495,471; Total 2,422,573).",https://oklahoma.gov/content/dam/ok/en/elections/voter-registration-statistics/2026-vr-statistics/2026-05-31_vrstats-county.pdf
Oregon,OR,41,3082760,2026-06-03,True,county,36,high,https://sos.oregon.gov/elections/Documents/registration/2026-june.pdf
Pennsylvania,PA,42,8956598,2026-06-08,True,county,67,"high; official PA Department of State weekly Excel report (currentvotestats.xlsx), 'Reg Voter' tab. All 67 counties present. Every county party breakdown (Dem+Rep+NoAff+Other) equals county total; statewide party sums equal statewide total (8,956,598) and match the file's own Totals row exactly.",https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/voting-and-election-statistics/currentvotestats.xlsx
Rhode Island,RI,44,793063,2026-06-01,True,municipality,39,"high; official RI Dept. of State data; statewide-by-party, statewide-by-status, and municipality-by-party totals all reconcile exactly to 793,063.",https://datahub.sos.ri.gov/RegisteredVoter.aspx
South Carolina,SC,45,3390866,2026-06-04,False,county,46,high,https://scvotes.gov/wp-content/uploads/2026/06/VR-Totals-Race-County-Gender-Age-2026-6-4.xlsx
South Dakota,SD,46,676142,2026-06-02,True,county,66,"high - parsed directly from the official SD SOS PDF; all 66 county active-voter party rows verified to sum to each county's printed Total Active, and statewide party column sums exactly match the report's printed totals row (Dem 136,755; Lib 2,806; Rep 321,574; Ind 87,754; OTH 1,015; No Party Affiliation 69,327; Inactive 56,911; Total Active 619,231).",https://sdsos.gov/elections-voting/upcoming-elections/assets/2026 Voter Registration/StatewideVotersByCounty_6.2.2026.pdf
Tennessee,TN,47,4687819,2025-06-01,False,county,95,high,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/RptSixMonthSumJune2025.pdf
Texas,TX,48,18657918,2026-02-02,False,county,254,"high - all 254 counties present; county totals sum exactly to the official statewide total of 18,657,918",https://www.sos.texas.gov/elections/historical/mar2026.shtml
Utah,UT,49,1775519,2026-06-08,True,county,29,high,https://vote.utah.gov/wp-content/uploads/2026/06/06.08.2026-Active-Voters-by-County-and-Party.pdf
Virginia,VA,51,6419107,2026-06-01,False,locality,133,complete,https://www.elections.virginia.gov/media/registration-statistics/2026/05/csv/Daily_Registrant_Count_By_Locality_2026_06_01_054141.csv
Vermont,VT,50,499383,2025-04-01,False,county,14,partial,https://sos.vermont.gov/elections/voters/registration/vermont-voter-registration-data-2008-present
Washington,WA,53,5117470,2026-06-01,False,county,39,high,https://www.sos.wa.gov/elections/data-research/reports-data-and-statistics/voter-demographics
Wisconsin,WI,55,3607058,2026-06-01,False,county,72,high,https://elections.wi.gov/resources/statistics/june-1-2026-voter-registration-statistics
West Virginia,WV,54,1199505,2026-05-31,True,county,55,"high - official monthly statewide report; all 55 counties present; every county row total equals the sum of its party columns; each party column sums exactly to the published statewide total; sum of county totals (1,199,505) equals published grand total.",https://sos.wv.gov/elections/election-data/west-virginia-voter-registration-totals
Wyoming,WY,56,271820,2026-06-01,True,county,23,high,https://sos.wyo.gov/Elections/Docs/VRStats/2026/26JunVR_Stats.pdf
